Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,101.290001,102.400002,100.440002,101.570000,100.765076,33173800
2019-01-02,99.550003,101.750000,98.940002,101.120003,100.318642,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,96.628120,42523600
2019-01-04,99.720001,102.510002,98.930000,101.930000,101.122223,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,101.251190,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,101.985329,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,103.443672,32280800
2019-01-10,103.220001,103.750000,102.379997,103.599998,102.778984,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,101.985329,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,101.241272,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,104.177811,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,104.544876,29853900
2019-01-17,105.000000,106.629997,104.760002,106.120003,105.279022,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,106.856407,37427600
2019-01-22,106.750000,107.099998,104.860001,105.680000,104.842506,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,105.864342,25874300
2019-01-24,106.860001,107.000000,105.339996,106.199997,105.358376,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,106.320686,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,104.247253,29476700
2019-01-29,104.879997,104.970001,102.169998,102.940002,102.124214,31490500
2019-01-30,104.620003,106.379997,104.330002,106.379997,105.536957,49471900
2019-01-31,103.800003,105.220001,103.180000,104.430000,103.602409,55636400
2019-02-01,103.779999,104.099998,102.349998,102.779999,101.965477,35535700
2019-02-04,102.870003,105.800003,102.769997,105.739998,104.902031,31315100
2019-02-05,106.059998,107.269997,105.959999,107.220001,106.370300,27325400
2019-02-06,107.000000,107.000000,105.529999,106.029999,105.189728,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,104.435745,29760700
2019-02-08,104.389999,105.779999,104.260002,105.669998,104.832581,21461100
2019-02-11,106.199997,106.580002,104.970001,105.250000,104.415909,18914100
2019-02-12,106.139999,107.139999,105.480003,106.889999,106.042915,25056600
2019-02-13,107.500000,107.779999,106.709999,106.809998,105.963547,18394900
2019-02-14,106.309998,107.290001,105.660004,106.900002,106.052834,21784700
2019-02-15,107.910004,108.300003,107.360001,108.220001,107.362373,26606900
2019-02-19,107.790001,108.660004,107.779999,108.169998,107.312767,18038500
2019-02-20,107.860001,107.940002,106.290001,107.150002,106.754837,21607700
2019-02-21,106.900002,109.480003,106.870003,109.410004,109.006500,29063200
2019-02-22,110.050003,111.199997,109.820000,110.970001,110.560745,27763200
2019-02-25,111.760002,112.180000,111.260002,111.589996,111.178452,23750600
2019-02-26,111.260002,113.239998,111.169998,112.360001,111.945618,21536700
2019-02-27,111.690002,112.360001,110.879997,112.169998,111.756317,21487100
2019-02-28,112.040001,112.879997,111.730003,112.029999,111.616837,29083900
2019-03-01,112.889999,113.019997,111.669998,112.529999,112.114990,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,111.845993,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,111.288048,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,111.337868,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,109.982887,25321300
2019-03-08,109.160004,110.709999,108.800003,110.510002,110.102448,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,112.413887,26491600
2019-03-12,112.820000,113.989998,112.650002,113.620003,113.200974,26132700
2019-03-13,114.129997,115.000000,113.779999,114.500000,114.077728,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,114.167389,30763400
2019-03-15,115.339996,117.250000,114.589996,115.910004,115.482529,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,117.136406,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,117.216110,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,117.086586,28113300
2019-03-21,117.139999,120.820000,117.089996,120.220001,119.776634,29854400
2019-03-22,119.500000,119.589996,117.040001,117.050003,116.618324,33624500
2019-03-25,116.559998,118.010002,116.320000,117.660004,117.226074,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,117.475151,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,116.339348,22733400
2019-03-28,117.440002,117.580002,116.129997,116.930000,116.498764,18334800
2019-03-29,118.070000,118.320000,116.959999,117.940002,117.505043,25399800
